Client,AD/GP/Others,RO Date,DoP,Bill No.,Bill Date,Final Deal(Rs.),GST(%),Amount Received Date
Margarete Mayer,Iusto soluta corrupti deserunt.,01-02-2024,09-06-2022,88,20-01-2024,112,12,
Margarete Mayer,Ut officiis ratione et accusamus non.,03-01-2023,05-11-2022,89,26-05-2023,112,12,
Margarete Mayer,Beatae magnam facere nesciunt dolorem quia.,04-01-2024,01-12-2022,90,29-01-2024,112,12,
Margarete Mayer,Delectus reprehenderit non aliquam facilis voluptate error aut ipsa quibusdam.,01-03-2023,31-12-2023,91,24-05-2023,112,12,
Margarete Mayer,Est ipsa aut non saepe facilis est.,20-09-2022,11-10-2022,92,06-11-2023,112,12,
Margarete Mayer,Odit eum et magnam officiis natus ut dolore culpa.,20-03-2023,05-08-2022,93,14-12-2022,112,12,
Margarete Mayer,Velit voluptates beatae laudantium et facilis rem et facere.,11-08-2023,30-10-2022,94,31-05-2022,112,12,
Margarete Mayer,Nihil quaerat distinctio voluptatem qui aut et hic quidem.,27-05-2023,14-06-2022,95,14-11-2023,112,12,
Margarete Mayer,Iusto soluta corrupti deserunt.,01-02-2024,09-06-2022,96,20-01-2024,112,12,
Margarete Mayer,Ut officiis ratione et accusamus non.,03-01-2023,05-11-2022,97,26-05-2023,112,12,
Margarete Mayer,Beatae magnam facere nesciunt dolorem quia.,04-01-2024,01-12-2022,98,29-01-2024,112,12,
Margarete Mayer,Delectus reprehenderit non aliquam facilis voluptate error aut ipsa quibusdam.,01-03-2023,31-12-2023,99,24-05-2023,112,12,
Margarete Mayer,Est ipsa aut non saepe facilis est.,20-09-2022,11-10-2022,100,06-11-2023,112,12,
Margarete Mayer,Odit eum et magnam officiis natus ut dolore culpa.,20-03-2023,05-08-2022,101,14-12-2022,112,12,
Margarete Mayer,Velit voluptates beatae laudantium et facilis rem et facere.,11-08-2023,30-10-2022,102,31-05-2022,112,12,
Margarete Mayer,Nihil quaerat distinctio voluptatem qui aut et hic quidem.,27-05-2023,14-06-2022,103,14-11-2023,112,12,
Margarete Mayer,Iusto soluta corrupti deserunt.,01-02-2024,09-06-2022,104,20-01-2024,112,12,
Margarete Mayer,Ut officiis ratione et accusamus non.,03-01-2023,05-11-2022,105,26-05-2023,112,12,
Margarete Mayer,Beatae magnam facere nesciunt dolorem quia.,04-01-2024,01-12-2022,106,29-01-2024,112,12,
Margarete Mayer,Delectus reprehenderit non aliquam facilis voluptate error aut ipsa quibusdam.,01-03-2023,31-12-2023,107,24-05-2023,112,12,
